Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,DBC,GLD,QQQ,SPY,TLT,VNQ,DBC,GLD,QQQ,SPY,TLT,VNQ,DBC,GLD,QQQ,SPY,TLT,VNQ,DBC,GLD,QQQ,SPY,TLT,VNQ,DBC,GLD,QQQ,SPY,TLT,VNQ
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-06,19.18509864807129,56.720001220703125,34.846832275390625,86.93224334716797,47.46204376220703,27.02301597595215,19.54977333961698,57.150001525878906,35.0176056122312,87.06958020991064,47.55589394869529,27.02301597595215,19.10582108101106,56.650001525878906,34.65897769611486,86.63697564085328,47.389049614703126,26.86575599098705,19.462567864641347,56.7599983215332,34.76998297089532,86.82237909583947,47.4359766968886,26.92100954303796,771500.0,3455200.0,58162800,45511900,755100.0,99800.0
2006-02-07,18.630157470703125,54.59999847412109,34.6931266784668,86.16319274902344,47.23781967163086,26.810510635375977,19.18509893637012,55.91999816894531,34.949289889423554,86.97346204308421,47.508944047620815,27.04852300165132,18.590519442624277,54.33000183105469,34.53088748093702,86.1082579944408,47.18568159251908,26.78500861555891,19.066181827945872,55.880001068115234,34.78705394918573,86.78119040204504,47.508944047620815,27.04427347568397,674400.0,10197200.0,87327000,71208100,280500.0,68500.0
2006-02-08,18.550878524780277,54.83000183105469,35.09445571899414,86.94598388671875,47.12831878662109,26.69149208068848,18.764927489535065,55.08000183105469,35.137152311472946,87.96225576503942,47.38379810606379,26.789247351942368,18.495384684753564,54.40999984741211,34.744365158799624,86.24557894978892,47.076180718268645,26.47473067422759,18.62222817969853,54.70000076293945,34.94075710648995,86.41724610742739,47.38379810606379,26.789247351942368,335400.0,5375900.0,89907800,59422200,261700.0,57900.0
2006-02-09,18.725290298461918,56.18000030517578,34.761444091796875,86.80181884765625,47.34208297729492,26.818988800048828,18.88384391815856,56.45000076293945,35.3250046005752,87.61895128266507,47.39422103787125,26.91674565587673,18.638084824767787,55.54999923706055,34.693135405095774,86.77435146277566,46.95625257769617,26.62772947505989,18.6777228516685,55.720001220703125,35.188383969880235,87.15201621743088,46.99796461730885,26.73398537620325,705900.0,5299300.0,78213400,62023300,1119200.0,43700.0
2006-02-10,18.3843936920166,54.790000915527344,34.97490692138672,86.9596939086914,47.08140182495117,26.8444881439209,18.78077992031825,55.7400016784668,35.06029683402159,87.29615998935056,47.644498605222985,26.95924470036169,18.313044049954826,54.41999816894531,34.37719056211102,86.14255675965458,47.05011579757819,26.614975031039307,18.749068296249256,55.7400016784668,34.73582168059328,86.8154941598375,47.550648478864325,26.780733961008384,276700.0,4328600.0,102575900,64508700,938000.0,375200.0
2006-02-13,18.099000930786133,53.720001220703125,34.57359313964844,86.80181884765625,47.08661651611328,26.88275146484375,18.392327499163528,54.900001525878906,34.78706308103174,87.06275114571994,47.112687544641744,26.89550165817318,18.0514349915147,53.54999923706055,34.41135389952973,86.48594654096337,47.008411386288806,26.784996199532017,18.384399590602637,54.63999938964844,34.75290710866014,86.9322823772541,47.050119462901705,26.88275146484375,237600.0,5122900.0,70643100,52308700,218700.0,45700.0
2006-02-14,17.94837188720703,54.4900016784668,34.92368698120117,87.721923828125,46.919734954833984,27.031517028808597,18.098999110527245,54.52999877929688,35.02615165061128,87.91419022021462,47.02922602737663,27.074020387896148,17.924589676010118,53.68000030517578,34.505284423729144,86.66445343276584,46.77896185524409,26.67024739391993,18.07521538723654,53.93999862670898,34.64190506870699,86.83612060268389,46.87281191426312,26.88275932534558,256400.0,3611000.0,94340300,90964400,836100.0,49100.0
2006-02-15,17.686758041381836,53.7599983215332,35.14569091796875,88.0309066772461,47.03449630737305,27.269519805908203,18.01972262697552,54.29999923706055,35.23107759135936,88.11331402872332,47.170058547042174,27.269519805908203,17.631264195798533,53.33000183105469,34.7785223592621,87.37170549294675,46.86243700062553,26.92949957804808,17.995940414350613,54.29999923706055,34.82975631767214,87.67384133365844,46.99799924029466,26.93374910129486,404800.0,4813900.0,92254300,85471300,720300.0,598900.0
